id,col,fil,especie,altura_cm,foto,bbch,observaciones
,1,26,H,6,43,22,
,1,25,P,6,,19,
,1,24,P,7,,23,
,1,23,R,4.5,,22,
,1,22,H,5.5,,23,
,1,21,P,5.5,,18,Hojas comidas (poco)
,1,20,P,13,,27,
,1,19,R,4,,22,
,1,18,R,4,,22,
,1,17,H,5,,21,
,1,16,P,7,,23,Hojas comidas (poco)
,1,15,R,5,,23,
,1,14,R,6,,22,
,1,13,H,4.5,,23,
,1,12,M,19,,16,
,1,11,P,10,,25,
,1,10,R,3,,22,
,1,9,H,5,,23,
,1,8,H,5,,23,
,1,7,M,17,,15,
,1,6,P,12,,25,Hojas comidas (poco)
,1,5,R,4,,22,
,1,4,H,4,,21,
,1,3,P,6,,22,
,1,2,R,4,,22,
,1,1,H,4,,23,
,2,26,R,6,,23,
,2,25,H,5,,24,
,2,24,H,4.5,,22,
,2,23,P,8,,22,
,2,22,R,3.5,,22,
,2,21,H,5.5,,24,
,2,20,H,4.5,,23,
,2,19,P,4.5,,23,
,2,18,P,10.5,,24,
,2,17,R,5.5,,22,
,2,16,H,4,,22,
,2,15,M,18,,16,
,2,14,P,9,,25,
,2,13,R,5,,22,
,2,12,R,3,,22,
,2,11,H,6,,24,
,2,10,M,18,,25,
,2,9,P,10,,24,
,2,8,P,11,,23,
,2,7,R,3.5,,22,
,2,6,H,5,,23,
,2,5,P,6,,22,
,2,4,R,4.5,,22,
,2,3,H,6.5,,23,
,2,2,P,5,,22,
,2,1,R,3,,21,
,3,26,M,19,,26,
,3,25,P,8.5,,23,
,3,24,R,6,,22,
,3,23,H,5.5,,23,
,3,22,P,8.5,,22,¿51? Posible infloresc. asomando
,3,21,R,2,,21,
,3,20,R,4.5,,22,
,3,19,H,5.5,,22,
,3,18,H,4,,21,
,3,17,M,17,104,16,
,3,16,P,6.5,,24,
,3,15,R,4,,22,
,3,14,H,4.5,,22,
,3,13,P,10.5,,25,
,3,12,P,8.5,,25,
,3,11,R,4.5,,22,
,3,10,R,5,,22,
,3,9,H,5,,22,
,3,8,H,5,,23,
,3,7,P,6.5,,23,
,3,6,R,4.5,,21,
,3,5,H,5,,23,
,3,4,P,7,,24,"¿51? Posible infloresc. asomando. ¿Sustrato seco, estrés?"
,3,3,R,2,,21,
,3,2,H,7.5,,24,
,3,1,P,13,,26,
,4,26,R,3,,22,
,4,25,H,5,,23,
,4,24,P,7.5,,24,
,4,23,R,4,,22,Hojas comidas (poco)
,4,22,H,5,,22,
,4,21,M,18.5,,16,
,4,20,M,17,,15,
,4,19,P,13,,25,
,4,18,P,7,,24,
,4,17,R,5,,22,
,4,16,H,4.5,,23,
,4,15,P,10,,23,
,4,14,R,4,,22,
,4,13,H,6,,23,
,4,12,H,5.5,,22,
,4,11,P,13.5,,25,¿51? Infloresc.
,4,10,P,5.5,,23,Hojas un poco comidas
,4,9,R,4.5,,22,
,4,8,R,4,,22,
,4,7,H,5,,24,
,4,6,P,9,,25,¿51? ¿Infloresc.?
,4,5,R,3.5,,21,
,4,4,H,4,,21,
,4,3,P,10,,24,
,4,2,R,2,,21,
,4,1,H,6,,23,Hoja comida
,5,26,P,10,,24,
,5,25,R,2.5,,21,
,5,24,H,5,,22,
,5,23,P,5.5,,22,
,5,22,P,6.5,,21,
,5,21,R,4,,22,
,5,20,R,3,,22,
,5,19,H,5,,22,
,5,18,H,4,,22,
,5,17,P,10,,24,
,5,16,R,3,,22,
,5,15,H,6,,23,
,5,14,P,7.5,,22,
,5,13,R,5,,22,
,5,12,R,5,,22,
,5,11,H,6,,22,
,5,10,H,5,,22,
,5,9,P,9,,24,
,5,8,P,6,,23,
,5,7,R,4,,21,
,5,6,H,4,,21,
,5,5,M,20,,15,
,5,4,R,4,,22,
,5,3,H,5,,21,
,5,2,M,21,,15,
,5,1,P,7,,23,
